asset_id,asset_type_code,name,func_loc_path,active,latitude,longitude,address,barcode,serial_number,district_code,municipality_code,town_code,suburb_code,facility_type_code,responsible_dept_code,is_owned,EMIS
48697169-b480-4556-aa2f-f25dafa5ec15,FACILITY,SCHEEPERSKRAAL SSKV PS,WCEDL000180.WCEDL000180,TRUE,-33.700196,22.618003,"Plaas Koutie, Oudtshoorn,6620",NULL,NULL,EDEN,GEORGE,UNIONDALEE,WCP_1107,SCHP,NULL,NULL,NULL
acc756e8-619d-45a2-91fa-6bfa8e11742a,ENVELOPE,VONDELING NAK PS,WCEDL000217,TRUE,-34.329204,20.837568,"Hoofpad, Witsand,6666",NULL,NULL,OVERBERG,SWELLENDAM,RIETKUIL,WCP_24,NULL,WCED,TRUE,116337242
7cbc9b86-a696-45cc-bd13-54895803d9fd,FACILITY,VONDELING NAK PS,WCEDL000217.WCEDL000217,TRUE,-34.329204,20.837568,"Hoofpad, Witsand,6666",NULL,NULL,OVERBERG,SWELLENDAM,RIETKUIL,WCP_24,SCHP,NULL,NULL,NULL
794b9df6-2cdf-4cdd-9428-eaaf783ded1b,ENVELOPE,GOEDGEGUN VGK PS,WCEDL000074,TRUE,-34.053212,21.339918,"Wegwysersrivier 29, Riversdal,6670",NULL,NULL,EDEN,HESSEQUA,RIVERSDALE,WCP_61,NULL,WCED,TRUE,121357588
9d752a36-fa88-4363-b8b9-cfdf517258a4,FACILITY,GOEDGEGUN VGK PS,WCEDL000074.WCEDL000074,TRUE,-34.053212,21.339918,"Wegwysersrivier 29, Riversdal,6670",NULL,NULL,EDEN,HESSEQUA,RIVERSDALE,WCP_61,SCHP,NULL,NULL,NULL
99106883-f6f8-434f-a28c-492e6b0a06f7,ENVELOPE,DANKOORD VGK PS,WCEDL000041,TRUE,-33.516583,21.163339,"Dankoord, Ladismith,6655",NULL,NULL,EDEN,KANNALAND,LADISMITHH,WCP_34,NULL,WCED,TRUE,123356883
791ddfa9-74b4-4958-956a-3fcef71dec3f,FACILITY,DANKOORD VGK PS,WCEDL000041.WCEDL000041,TRUE,-33.516583,21.163339,"Dankoord, Ladismith,6655",NULL,NULL,EDEN,KANNALAND,LADISMITHH,WCP_34,SCHP,NULL,NULL,NULL
caf74bdb-472c-4b02-80bd-addf0617de50,ENVELOPE,W.J. LE ROUX LB PS,WCEDL000218,TRUE,-33.485254,21.078567,"Voorbaat, Dist. Ladismith,6655",NULL,NULL,EDEN,KANNALAND,LADISMITHH,WCP_34,NULL,WCED,TRUE,123357014
039d941e-9166-4fec-aabd-92ffc2551bb0,FACILITY,W.J. LE ROUX LB PS,WCEDL000218.WCEDL000218,TRUE,-33.485254,21.078567,"Voorbaat, Dist. Ladismith,6655",NULL,NULL,EDEN,KANNALAND,LADISMITHH,WCP_34,SCHP,NULL,NULL,NULL
d52fbda9-0785-4a03-a0ad-ad587ada64e0,ENVELOPE,KLEINFONTEIN PS,WCEDL000099,TRUE,-34.139697,20.216695,"Kleinfontein, Swellendam,6740",NULL,NULL,OVERBERG,SWELLENDAM,SWELLENDAM,WCP_133,NULL,WCED,TRUE,117337714
f563ded7-1b9c-4174-94a5-8cf02171f3ac,FACILITY,KLEINFONTEIN PS,WCEDL000099.WCEDL000099,TRUE,-34.139697,20.216695,"Kleinfontein, Swellendam,6740",NULL,NULL,OVERBERG,SWELLENDAM,SWELLENDAM,WCP_133,SCHP,NULL,NULL,NULL
ff00bcb0-858c-4c11-873c-d18acd6bbc07,ENVELOPE,KLUITJIESKRAAL NGK PS,WCEDL000102,TRUE,-34.155797,20.373484,"Kluitjieskraal Farm, Swellendam,6740",NULL,NULL,OVERBERG,SWELLENDAM,SWELLENDAM,WCP_133,NULL,WCED,TRUE,117337722
dc7aed8d-8ec4-4bf7-8ecc-fde1e411546d,FACILITY,KLUITJIESKRAAL NGK PS,WCEDL000102.WCEDL000102,TRUE,-34.155797,20.373484,"Kluitjieskraal Farm, Swellendam,6740",NULL,NULL,OVERBERG,SWELLENDAM,SWELLENDAM,WCP_133,SCHP,NULL,NULL,NULL
ec7f585e-310c-48a4-9694-cb22ae6dc46e,ENVELOPE,LEMOENSHOEK NGK PS,WCEDL000116,TRUE,-33.856892,20.796507,"Lemoenshoek, Barrydale,6750",NULL,NULL,OVERBERG,SWELLENDAM,BARRYDALEE,WCP_288,NULL,WCED,TRUE,117337846
05f4b630-66c0-449e-9f3e-ba95fd07ef15,FACILITY,LEMOENSHOEK NGK PS,WCEDL000116.WCEDL000116,TRUE,-33.856892,20.796507,"Lemoenshoek, Barrydale,6750",NULL,NULL,OVERBERG,SWELLENDAM,BARRYDALEE,WCP_288,SCHP,NULL,NULL,NULL
9bef516f-cc04-4db4-b7c8-c65c491a2950,ENVELOPE,WELTEVREDE VGK PS (BARRYDALE),WCEDL000228,TRUE,-33.912352,20.647739,"Weltevrede, Barrydale,6750",NULL,NULL,OVERBERG,SWELLENDAM,BARRYDALEE,WCP_288,NULL,WCED,TRUE,117337889
