AssetId|ClientAssetID|LocationSGcode FROM FAR
2005|LAN9600592|C01600020000351300000
2005|LAN9600598|C01600020000488500000
2005|LAN9601380|C01600020000487300000
2005|LAN9601381|C01600020000351200000
2005|LAN9601382|C01600020000350900000
2005|LAN9602220|C01600020000350700000
2005|LAN9602248|C01600020000351000000
2005|LAN9603089|C01600020000350800000
2005|LAN9603110|C01600020000475100000
2005|LAN9603111|C01600020000351400000
2005|LAN9603918|C01600020000487500000
2005|LAN9604746|C01600020000350500000
2005|LAN9604774|C01600020000472800000
2007|LAN9598886|C01600020000559900000
2007|LAN9598891|C01600020000537200000
2007|LAN9598897|C01600020000528200000
1735|LAN9600246|C01100030000105300000
1735|LAN9600247|C01100030000105200000
1735|LAN9601079|C01100030000105100000
1735|LAN9601897|C01100030000128200000
1735|LAN9602783|C01100030000105500000
1735|LAN9603616|C01100030000105600000
1735|LAN9603617|C01100030000104900000
1735|LAN9604448|C01100030000104800000
1742|LAN9600947|C08500040001607000000
1742|LAN9600948|C08500040001360800000
1743|LAN9603493|C08500040000867100000
1744|LAN9600987|C08500000000020500000
1744|LAN9602686|C08500000000020100001
1745|LAN9602648|C08500040000032400000
1747|LAN9599269|C08500040000132500000
1747|LAN9599290|C08500040000032300000
1747|LAN9600141|C08500040000132600000
1747|LAN9604325|C08500040000032200000
1747|LAN9605178|C08500040000028700000
1752|LAN9600127|C08500040001366500000
1756|LAN9598972|C01600420000386400000
1756|LAN9598973|C01600420000386100000
1756|LAN9598976|C01600420000388000000
1756|LAN9598977|C01600420000387300000
1756|LAN9599815|C01600420000388600000
1756|LAN9600649|C01600420000389300000
1756|LAN9600650|C01600420000389200000
1756|LAN9601436|C01600420000388100000
1756|LAN9602302|C01600420000388900000
1756|LAN9602304|C01600420000387800000
1756|LAN9603988|C01600420000390300000
1756|LAN9603989|C01600420000389500000
1756|LAN9603990|C01600420000389400000
1756|LAN9603991|C01600420000389100000
1756|LAN9603992|C01600420000388400000
1756|LAN9603994|C01600420000386200000
1756|LAN9603996|C01600420000388300000
1756|LAN9604827|C01600420000389600000
1756|LAN9604829|C01600420000389000000
1756|LAN9604834|C01600420000387900000
1756|LAN9604835|C01600420000387000000
1756|LAN9604836|C01600420000386900000
1796|LAN9604784|C01600110000224000000
1797|LAN9598906|C01600210000142500000
1797|LAN9598907|C01600210000104300000
1797|LAN9599754|C01600210000104900000
1797|LAN9599755|C01600210000104500000
1797|LAN9602256|C01600210000142600000
1797|LAN9602261|C01600210000104400000
1797|LAN9604783|C01600210000104800000
1799|LAN9598641|C01600070002683100000
1799|LAN9599500|C01600070002683500000
